	Pid	period	true label	predicted label	logits
10	452377	Neo-Assyrian (ca. 911-612 BC)	8	8	[-1.0370509624481201, -5.5793962478637695, -0.9816000461578369, -0.6503640413284302, -1.1172382831573486, -0.4402272403240204, 2.086271047592163, 2.26707124710083, 13.687649726867676, 2.1236867904663086, -4.616334915161133, 0.21888881921768188, -1.4112157821655273, -1.161302089691162, -2.0202443599700928, -0.10735724866390228, -1.5001804828643799, 0.6032463312149048]
11	227771	Early Old Babylonian (ca. 2000-1900 BC)	3	12	[-1.8364732265472412, -0.07060796022415161, 2.915958881378174, 1.7301242351531982, -2.02911639213562, 0.5898634195327759, 0.9207149147987366, 4.847047805786133, 3.9173972606658936, 3.046438455581665, -1.4408397674560547, 2.210005044937134, 5.896639823913574, -6.243706226348877, -1.8022048473358154, -2.0811681747436523, -3.352295160293579, -2.782693386077881]
12	417336	Lagash II (ca. 2200-2100 BC)	5	5	[0.17319145798683167, -3.854646682739258, 2.9115030765533447, -0.07868891209363937, -1.5732616186141968, 6.5808820724487305, -2.3617401123046875, 4.020679473876953, 1.6141846179962158, 0.7366124391555786, -0.3436121344566345, -2.3615756034851074, -1.3583391904830933, 0.2401619851589203, -1.2103068828582764, -0.731825053691864, 0.8868427276611328, -0.8343851566314697]
13	8292	Proto-Elamite (ca. 3100-2900 BC)	13	13	[3.822195529937744, -0.003234945237636566, 0.6759361624717712, -2.014296531677246, 0.7312867045402527, -2.9331564903259277, -2.8920934200286865, -0.5382687449455261, -0.37269318103790283, -2.93519926071167, 2.7989280223846436, -1.726222038269043, 2.790581703186035, 7.723385810852051, -3.0006258487701416, -1.1439999341964722, -1.934112787246704, -0.14563030004501343]
14	257843	Old Babylonian (ca. 1900-1600 BC)	12	12	[-2.1455130577087402, -2.4907894134521484, -5.049206256866455, 4.362905502319336, 2.186819553375244, -0.3487493693828583, 1.0075188875198364, 4.82925271987915, -2.29792857170105, -0.022716209292411804, -3.473172664642334, -0.3141823709011078, 6.962990760803223, 0.008549867197871208, 2.453542470932007, -5.122110843658447, -1.9766982793807983, 0.21669381856918335]
15	2352	Uruk III (ca. 3200-3000 BC)	15	15	[1.3247251510620117, -0.5074228644371033, -2.2685489654541016, -2.868452548980713, 0.3239232301712036, -0.038951411843299866, -0.7472419142723083, -0.37330278754234314, 0.5932576060295105, -0.3204961121082306, -1.6282007694244385, -3.832183361053467, 2.6060240268707275, -0.35584884881973267, -3.9838898181915283, 5.929834842681885, 4.589289665222168, 2.5497889518737793]
16	359937	Old Assyrian (ca. 1950-1850 BC)	11	11	[-0.20540820062160492, -0.45103946328163147, 1.2977348566055298, -2.664259195327759, -2.0272951126098633, -2.7179253101348877, -0.42225217819213867, 1.2726572751998901, -1.3536475896835327, 2.1812632083892822, 1.8585536479949951, 10.546271324157715, -0.2317003309726715, -1.1952763795852661, 2.1852476596832275, -5.127845764160156, -4.2823286056518555, 1.3732770681381226]
17	8790	Proto-Elamite (ca. 3100-2900 BC)	13	13	[-1.882609248161316, -1.9596812725067139, -2.8287718296051025, -3.4478888511657715, 0.7356762886047363, -1.2189559936523438, 0.867103099822998, 2.218639612197876, -2.510328769683838, -2.4735167026519775, -0.3566678762435913, 2.195117473602295, -1.8039195537567139, 8.807119369506836, -1.5221033096313477, 0.216042160987854, 2.5372378826141357, 3.4628829956054688]
18	2182	Uruk III (ca. 3200-3000 BC)	15	4	[2.090208053588867, 0.5948060750961304, -0.609286367893219, 1.2702909708023071, 5.881376266479492, -5.397663593292236, -2.785977363586426, -1.3846797943115234, 3.3240857124328613, -5.399717330932617, -2.231586456298828, -7.6721954345703125, 3.4884684085845947, 1.696444034576416, -4.843447685241699, 0.9081131815910339, 0.6183813810348511, 0.8857078552246094]
19	452986	ED IIIa (ca. 2600-2500 BC)	1	1	[0.6510199904441833, 6.17063045501709, 4.636180877685547, -1.8919843435287476, 0.3414732813835144, 1.9217787981033325, -1.89812171459198, -0.3955931067466736, -5.65154504776001, -0.007669946178793907, 3.5569262504577637, 1.6707220077514648, -1.125787377357483, -1.5815268754959106, 0.1501757800579071, -0.5021637082099915, -1.2279667854309082, -1.945618987083435]
20	253346	Old Akkadian (ca. 2340-2200 BC)	10	10	[-0.32289087772369385, -0.39265677332878113, 1.0566344261169434, -0.9239765405654907, -1.2022496461868286, -0.7393446564674377, -1.294180154800415, -0.13997788727283478, 1.0911542177200317, -1.159140706062317, 7.5160603523254395, -1.1409258842468262, 3.1578450202941895, -0.7108218669891357, -2.437077283859253, -1.3331482410430908, -2.9061338901519775, 0.01003563404083252]
21	3284	Uruk IV (ca. 3350-3200 BC)	16	8	[3.9109292030334473, -0.692054808139801, -0.6315943598747253, -1.0382440090179443, 5.00826358795166, -6.797723770141602, -5.857597827911377, -1.7092347145080566, 7.134463787078857, -10.025514602661133, 2.427804708480835, -9.398063659667969, 4.279177188873291, 6.631920337677002, -8.12347412109375, -1.6798914670944214, -5.512877464294434, 2.107780933380127]
22	452584	Neo-Assyrian (ca. 911-612 BC)	8	8	[-0.1418628692626953, -4.860004901885986, 0.9885688424110413, 1.6472294330596924, 1.5371394157409668, -0.20643851161003113, 1.412272334098816, 3.672433614730835, 6.146408557891846, 0.6276094913482666, -2.579538106918335, -2.886425018310547, 2.0705525875091553, -1.8021974563598633, -3.232553482055664, -1.3169606924057007, -3.7935569286346436, -0.8314417600631714]
23	382437	Old Akkadian (ca. 2340-2200 BC)	10	10	[0.42858758568763733, 0.7936537265777588, 2.479436159133911, -1.9275785684585571, 1.765722393989563, -0.7213327288627625, -3.3430745601654053, -0.9875322580337524, -2.365295171737671, -0.6556751728057861, 7.87100076675415, -0.6566147208213806, 0.022428881376981735, -2.031934976577759, 0.29800674319267273, -0.08235739171504974, -1.0402580499649048, 0.3821859061717987]
24	382468	Old Akkadian (ca. 2340-2200 BC)	10	10	[2.35269832611084, -1.0829704999923706, 3.0315260887145996, -2.0610764026641846, 1.3462921380996704, -3.176844835281372, -3.508678913116455, -1.3391306400299072, 0.37343358993530273, -0.6571556329727173, 8.682968139648438, -2.3967373371124268, 0.3828204870223999, -2.1656110286712646, -0.16318097710609436, 0.7614452838897705, -3.625701427459717, 0.930572509765625]
25	461001	Lagash II (ca. 2200-2100 BC)	5	3	[-0.7998116612434387, -0.26174163818359375, 0.900714099407196, 5.235167026519775, -3.4105684757232666, 4.920602321624756, -0.9620093107223511, -0.43895596265792847, -1.7363730669021606, -0.20517626404762268, -0.19766856729984283, -2.4568307399749756, 1.2002445459365845, -1.7486002445220947, 0.9468271732330322, 2.5103702545166016, -0.5499573945999146, -0.570949912071228]
26	2363	Uruk III (ca. 3200-3000 BC)	15	16	[3.686671257019043, -2.93802547454834, -0.3912346065044403, -3.7949652671813965, -0.24967841804027557, -0.6183533668518066, -1.4793916940689087, -0.6690099239349365, -0.10601047426462173, -0.9358036518096924, -0.6229706406593323, -0.6780445575714111, -5.708250522613525, -4.831748962402344, -1.5413267612457275, 2.70786452293396, 12.010123252868652, 2.153987407684326]
27	262553	Old Babylonian (ca. 1900-1600 BC)	12	12	[-1.0914278030395508, -0.5602929592132568, -2.6932640075683594, -0.18339312076568604, -0.7947685122489929, -2.476938247680664, -0.7812859416007996, 1.7815649509429932, 1.049481749534607, -0.21172019839286804, 1.8228307962417603, 3.550626277923584, 4.283498287200928, 2.104020833969116, -0.5137561559677124, -0.762065052986145, -1.0311840772628784, -0.8498079776763916]
28	216320	Old Akkadian (ca. 2340-2200 BC)	10	10	[2.867929458618164, -0.6478304266929626, 1.8942375183105469, 2.742579936981201, -3.6316168308258057, -3.028930902481079, -2.3795650005340576, 1.9558559656143188, -2.1808600425720215, -0.38550180196762085, 3.642122507095337, 1.1672173738479614, 2.678036689758301, -0.695195198059082, 1.4391875267028809, -2.0599093437194824, -2.091095447540283, -1.1594512462615967]
29	225739	ED IIIb (ca. 2500-2340 BC)	2	2	[-1.4191508293151855, -1.082699179649353, 4.461206436157227, 0.9965627193450928, -1.1898887157440186, 0.15580205619335175, -1.177978754043579, 2.810102939605713, 0.5879430174827576, 0.9822884798049927, 1.455604076385498, 0.5541892051696777, -2.691596746444702, -4.639675617218018, -0.6396657824516296, 0.7650089263916016, 1.388397455215454, -0.6090008020401001]
30	450342	Neo-Assyrian (ca. 911-612 BC)	8	8	[1.773853063583374, -4.6794657707214355, -2.3114702701568604, -0.04628539830446243, -0.3903579115867615, -0.6420756578445435, -0.36914700269699097, 1.086380124092102, 15.401093482971191, 0.016668416559696198, -4.98308801651001, -1.243092656135559, -0.4115457236766815, -0.3194316029548645, -3.289090394973755, 0.6227827668190002, -1.272669792175293, -0.7168045043945312]
31	9105	Proto-Elamite (ca. 3100-2900 BC)	13	13	[-1.3366694450378418, -2.394374370574951, 0.7186915278434753, -1.8295016288757324, -1.7952160835266113, 0.668946385383606, 2.554908275604248, 1.9589811563491821, -1.8733018636703491, -0.9594582319259644, -0.5687954425811768, -3.9131019115448, -5.86829948425293, 11.064494132995605, -3.2872800827026367, 0.4565819799900055, 4.4166059494018555, 3.2907447814941406]
32	265001	ED IIIb (ca. 2500-2340 BC)	2	2	[-1.6301639080047607, -0.008081182837486267, 11.446784973144531, -0.41721317172050476, -0.9036301374435425, 0.9933216571807861, -1.9625639915466309, -0.029853971675038338, -2.0679221153259277, -1.2526755332946777, 5.068695545196533, -1.4169785976409912, 3.673240900039673, -2.0829131603240967, -2.390794038772583, 0.33505159616470337, -3.976156711578369, -2.1554880142211914]
33	8208	Proto-Elamite (ca. 3100-2900 BC)	13	13	[-2.494962215423584, -0.812619686126709, -0.07927150279283524, -0.6986097693443298, 0.5566089153289795, 0.161690816283226, -1.069213628768921, 4.238542556762695, -0.7636670470237732, -0.2752513885498047, -0.6034261584281921, 0.04964146763086319, 1.8079520463943481, 8.461161613464355, -2.172485828399658, -3.7892003059387207, -1.1411213874816895, 1.6583408117294312]
34	120290	Ur III (ca. 2100-2000 BC)	14	14	[-1.2085442543029785, -0.952917218208313, -1.7968740463256836, 5.547128677368164, -4.2044782638549805, -3.2111868858337402, 2.0322461128234863, -1.0084128379821777, -4.854997158050537, 1.6525896787643433, -1.3904443979263306, -0.3645515739917755, 2.3818469047546387, -2.4782402515411377, 6.147226333618164, -1.428416132926941, 2.3936221599578857, 2.298726797103882]
35	274190	Ebla (ca. 2350-2250 BC)	4	4	[-1.3268694877624512, 0.6211310625076294, 0.5610970258712769, 1.7245216369628906, 6.936240196228027, -0.21836704015731812, 0.22410708665847778, -1.6337850093841553, -2.306633949279785, -1.0273127555847168, -1.1601628065109253, 1.7169357538223267, 1.2152775526046753, -0.2925119996070862, -4.940526962280273, -0.6226704716682434, 1.4346537590026855, -0.295301616191864]
36	254032	ED IIIa (ca. 2600-2500 BC)	1	8	[0.36829903721809387, -1.3124256134033203, 2.8943262100219727, 1.0278849601745605, 2.3424322605133057, 2.609461784362793, -1.4227092266082764, -1.8516733646392822, 3.3325605392456055, 2.519707202911377, 0.012431401759386063, -2.9458582401275635, -0.8478332161903381, -2.788933038711548, -0.16683298349380493, -1.6498132944107056, -1.9213037490844727, -1.1923472881317139]
37	251679	ED IIIa (ca. 2600-2500 BC)	1	3	[1.7645471096038818, -2.3251352310180664, -0.8198889493942261, 2.583418369293213, 2.2070891857147217, 2.16154146194458, -1.344366431236267, -0.3171174228191376, 1.9928483963012695, 0.06263937056064606, -1.1679328680038452, -5.524576663970947, 0.8368787169456482, -1.8457237482070923, -1.077233076095581, 1.3077367544174194, 0.9263773560523987, -0.4319102466106415]
38	230203	Old Babylonian (ca. 1900-1600 BC)	12	12	[1.2014179229736328, 0.6111544370651245, -1.5473873615264893, -1.4241329431533813, 0.812929630279541, -0.37446311116218567, 1.7242261171340942, 2.52807354927063, -0.4903215765953064, -1.7256228923797607, -3.6063365936279297, 0.14279043674468994, 3.258760690689087, -2.060525894165039, -0.16555827856063843, 2.4852511882781982, 2.2888338565826416, 0.29414835572242737]
39	107576	Ur III (ca. 2100-2000 BC)	14	14	[-0.5948079228401184, -3.3332037925720215, -1.4007506370544434, 3.092465400695801, -2.0593929290771484, -2.401944160461426, 1.212243676185608, -0.3716506361961365, 1.6526601314544678, 0.9405077695846558, 0.37569206953048706, -1.3844565153121948, 5.73403263092041, -3.7356467247009277, 7.45535945892334, -1.5847684144973755, -1.8351737260818481, -0.7778972387313843]
40	264686	ED IIIb (ca. 2500-2340 BC)	2	5	[-0.9963467717170715, 2.0011229515075684, 3.85469388961792, -2.7674474716186523, 1.896605134010315, 4.888794898986816, -1.3978275060653687, -3.1998932361602783, 0.4624350965023041, 1.2688567638397217, 3.4327235221862793, 0.9229434728622437, -3.9696383476257324, 1.8675810098648071, -0.3493231236934662, -1.4482226371765137, -3.60396409034729, -1.4305058717727661]
41	227551	ED IIIb (ca. 2500-2340 BC)	2	2	[0.16954246163368225, -0.3600141704082489, 6.899045944213867, 0.05686454474925995, 2.1515719890594482, 0.9547996520996094, -2.2016642093658447, 2.122575044631958, -1.8015156984329224, 0.6628227233886719, -0.37106654047966003, -3.155320644378662, 2.012425184249878, -3.504460573196411, -0.2218971699476242, 0.4826008677482605, -2.6478257179260254, -2.5216739177703857]
42	517184	Ur III (ca. 2100-2000 BC)	14	11	[-0.5509524941444397, -1.5756299495697021, -0.9668099284172058, 2.862121343612671, -2.799741506576538, -3.0170767307281494, 0.5543978810310364, 0.5904355645179749, 2.054302453994751, 0.20589908957481384, -0.9075517654418945, 5.349262237548828, 0.690433144569397, -2.0591423511505127, 3.606834888458252, -2.920736074447632, -1.7200289964675903, 0.4328201711177826]
43	274138	Ebla (ca. 2350-2250 BC)	4	4	[1.2704092264175415, -0.3265424966812134, -0.2888692617416382, 4.211410045623779, 10.403543472290039, -2.377859354019165, -0.7981354594230652, 0.6401869058609009, -1.837289571762085, -1.6331019401550293, -3.110764980316162, -3.6664047241210938, 6.707547664642334, -1.035609483718872, -5.915004253387451, -3.5906407833099365, 0.056154780089855194, -1.0608028173446655]
44	222205	Old Akkadian (ca. 2340-2200 BC)	10	2	[2.9822134971618652, 3.7152280807495117, 6.7931013107299805, 0.5536525249481201, -2.283956289291382, -3.1080563068389893, 0.4111725687980652, -0.748613715171814, -1.0661532878875732, -0.42356398701667786, 3.179719924926758, 0.3380066454410553, 2.544126510620117, -4.424060821533203, -1.8900463581085205, 1.1173845529556274, -3.2197937965393066, -3.475486993789673]
45	281827	Middle Assyrian (ca. 1400-1000 BC)	6	8	[-1.4769943952560425, -0.09216330200433731, 0.05114541947841644, 0.7599937319755554, 2.3090178966522217, 0.538642168045044, 1.4545159339904785, 0.6641877889633179, 7.447262287139893, 2.9641523361206055, -3.3995707035064697, 2.7670931816101074, -1.620227336883545, 1.8550513982772827, -4.31678581237793, -2.7440762519836426, -2.7428815364837646, -2.375784158706665]
46	20562	Old Akkadian (ca. 2340-2200 BC)	10	2	[-0.40551596879959106, 1.2641545534133911, 3.697305202484131, -1.9186582565307617, -1.3486034870147705, -0.39646145701408386, -1.2653814554214478, -2.6769378185272217, -0.12584106624126434, -0.784645676612854, 3.61365008354187, 2.806530237197876, -1.2543509006500244, 0.62238609790802, 2.264833688735962, 2.4083738327026367, -1.4999191761016846, -1.7807899713516235]
47	6038	Uruk III (ca. 3200-3000 BC)	15	3	[1.4629868268966675, 0.1147805005311966, -0.1441456377506256, 4.243386745452881, -2.3591060638427734, -4.099921703338623, -1.529260516166687, 2.4026200771331787, -3.1398255825042725, -0.10852070152759552, 1.9919873476028442, -5.530766487121582, 0.8534859418869019, 0.05770429968833923, 2.994122266769409, 0.8023449182510376, -1.3123836517333984, -0.04798542708158493]
48	1268	Uruk IV (ca. 3350-3200 BC)	16	16	[1.2098122835159302, -1.8672971725463867, 1.670540452003479, -4.535073280334473, -3.0137269496917725, 0.563448965549469, 1.8338394165039062, 0.5126591324806213, -3.3214378356933594, -1.3109405040740967, -4.524404525756836, -0.41804131865501404, -3.265495538711548, -2.3387653827667236, -4.386942386627197, 1.5875208377838135, 9.261621475219727, 8.772740364074707]
49	123606	Ur III (ca. 2100-2000 BC)	14	5	[-4.3286542892456055, -4.459272861480713, -2.0250885486602783, 3.0609421730041504, -1.6128873825073242, 6.9960198402404785, 1.5346096754074097, 6.185182571411133, -0.660656750202179, -0.9562312364578247, -3.721348524093628, 0.6447868347167969, 1.9726157188415527, -0.10359007865190506, 0.49610093235969543, -4.946503639221191, -0.09090017527341843, 0.8089115619659424]
50	476270	Middle Babylonian (ca. 1400-1100 BC)	7	8	[-1.3281465768814087, 1.0861916542053223, 0.904743492603302, 0.74024498462677, -1.3586978912353516, 1.5961613655090332, 0.2792539894580841, -0.7419021725654602, 3.6538166999816895, 2.4162001609802246, -0.7691980600357056, -1.2258446216583252, 1.6864169836044312, -2.975522756576538, -0.21755968034267426, -0.7463173866271973, -0.4279627203941345, -1.619452953338623]
51	405227	Old Babylonian (ca. 1900-1600 BC)	12	8	[-0.8677593469619751, -0.8255175352096558, -2.796297788619995, 0.30337095260620117, 0.6048157811164856, 0.7507966756820679, 1.9826420545578003, 2.960818290710449, 5.565446853637695, 4.055822372436523, -3.867223024368286, -4.355412483215332, 3.5004048347473145, 1.1030001640319824, -1.3490114212036133, -0.9593086242675781, -3.333033561706543, 0.4643217623233795]
52	394100	Neo-Assyrian (ca. 911-612 BC)	8	8	[-0.4927278757095337, -2.5653786659240723, -2.774927854537964, 0.38373464345932007, 1.0680296421051025, -0.8866301774978638, -1.8321081399917603, 1.7983194589614868, 10.282730102539062, -0.9562457799911499, 1.3187588453292847, -0.21667051315307617, 1.8700683116912842, -1.1427596807479858, -0.5996927618980408, -1.2225773334503174, -1.0127555131912231, -1.8085603713989258]
53	359367	Old Assyrian (ca. 1950-1850 BC)	11	11	[-0.5651875734329224, -0.4959004521369934, -2.0479094982147217, -0.33000481128692627, -1.7196863889694214, -0.8647027015686035, -0.6628435850143433, 3.2407174110412598, 3.854621648788452, 1.9320182800292969, -4.5178446769714355, 8.908771514892578, -1.7141988277435303, -0.944614052772522, -2.554664373397827, -0.8924275636672974, -0.30545708537101746, 0.6289546489715576]
54	480746	Lagash II (ca. 2200-2100 BC)	5	5	[-1.2243598699569702, 1.2389416694641113, 1.2410563230514526, 4.1081390380859375, -1.0163267850875854, 20.633455276489258, 1.060632348060608, 1.450975775718689, -4.258265018463135, -1.852066159248352, -2.986543893814087, -1.20052969455719, -0.45706412196159363, -0.808637261390686, -4.994175910949707, -3.925053358078003, -4.574960708618164, -3.2226779460906982]
55	332807	ED IIIb (ca. 2500-2340 BC)	2	15	[0.2835316061973572, -2.469693183898926, 1.0857480764389038, 3.5329575538635254, 0.12124022841453552, 2.1493020057678223, -1.0753880739212036, -1.026099681854248, 4.226630210876465, -2.0526065826416016, -0.6214390397071838, -0.5493056774139404, -0.07381332665681839, -1.073028326034546, -0.3194957673549652, 4.397695541381836, -2.368128776550293, -2.9599452018737793]
56	6222	Uruk III (ca. 3200-3000 BC)	15	15	[0.3258346617221832, 1.0267448425292969, 4.291131496429443, -1.5880236625671387, 1.9423747062683105, -3.6956987380981445, -0.8686681389808655, -1.1822237968444824, 2.230057716369629, -0.7853742837905884, 2.5550906658172607, -4.047878265380859, 2.8172101974487305, -3.104703426361084, -6.3024725914001465, 6.100763320922852, 1.2766255140304565, -2.066283941268921]
57	250695	Old Akkadian (ca. 2340-2200 BC)	10	10	[1.2992000579833984, -1.9209498167037964, 2.3303210735321045, -0.5591663122177124, -3.219724416732788, 0.5708684921264648, -1.476855754852295, -0.7515226602554321, -0.5386988520622253, -0.27768540382385254, 8.240435600280762, 0.6473455429077148, 1.3556785583496094, -3.031719923019409, 1.9711180925369263, 0.283253014087677, -2.133402109146118, -1.2895758152008057]
58	236047	Early Old Babylonian (ca. 2000-1900 BC)	3	12	[-1.137147307395935, -4.709525108337402, 3.6557772159576416, 3.245440721511841, -1.188788652420044, -1.3769960403442383, -0.15406331419944763, 2.684438705444336, -1.0346653461456299, 1.238865852355957, 0.2685123383998871, 1.4250885248184204, 4.514298439025879, -2.600316286087036, 1.4589464664459229, -3.0876550674438477, -2.4665932655334473, -1.3415074348449707]
59	263555	Middle Babylonian (ca. 1400-1100 BC)	7	2	[-0.3892715871334076, -0.08728775382041931, 6.1724534034729, -1.8736708164215088, -2.5483956336975098, 3.392256259918213, -1.9270399808883667, -0.030949579551815987, 0.9736895561218262, -0.7820162773132324, 1.8524178266525269, -3.4057347774505615, -0.11486072093248367, -4.278569221496582, 1.7959362268447876, 1.6378748416900635, -0.9426838755607605, -0.6436517238616943]
60	449037	ED I-II (ca. 2900-2700 BC)	0	0	[6.4615325927734375, 4.404983043670654, 3.325211524963379, -6.888909339904785, 0.6047075390815735, -1.0713697671890259, -2.3221702575683594, -0.6521158814430237, -2.369927406311035, -0.7787759304046631, 4.2232346534729, 2.4754791259765625, 1.3037961721420288, -0.00683906115591526, -4.295552730560303, 2.6463515758514404, -1.6179296970367432, -0.8205176591873169]
61	298451	Old Assyrian (ca. 1950-1850 BC)	11	3	[-1.9264733791351318, -2.309997081756592, -1.8468860387802124, 7.407805442810059, -1.1287436485290527, -0.17758029699325562, 0.2740691304206848, -0.5143304467201233, 0.22726784646511078, 0.7911845445632935, -2.3460848331451416, 2.8738512992858887, 2.6151845455169678, -2.537686586380005, 2.5456759929656982, -1.898335337638855, -1.2988545894622803, -0.8296089172363281]
62	268490	Early Old Babylonian (ca. 2000-1900 BC)	3	12	[-1.0530047416687012, -1.2667043209075928, -1.5460177659988403, 5.780585765838623, -1.563660740852356, -1.3697658777236938, 1.4327669143676758, 2.7257914543151855, 0.46525055170059204, 1.025344729423523, -3.111201047897339, 4.568179607391357, 6.093389987945557, -4.023409366607666, -0.7274160385131836, -1.8003214597702026, -2.9211013317108154, -0.8096432685852051]
63	8735	Proto-Elamite (ca. 3100-2900 BC)	13	13	[-1.2046724557876587, -1.292676568031311, 0.6296687722206116, -6.8033905029296875, 2.4376235008239746, -0.6341607570648193, 1.9429277181625366, 2.7110133171081543, 0.0666506215929985, -1.51422119140625, 0.2595127522945404, 1.3033815622329712, -4.3827223777771, 11.53686237335205, -3.1613597869873047, 0.29290658235549927, -0.13777121901512146, 1.2435842752456665]
64	4037	Uruk IV (ca. 3350-3200 BC)	16	16	[0.951653242111206, -0.8213812112808228, -1.5293675661087036, 0.37580400705337524, -2.5627548694610596, -0.1074085384607315, -0.280297189950943, 0.8431087732315063, 0.5620158314704895, -0.6164398193359375, -3.6721584796905518, -2.9620254039764404, -0.45299050211906433, -2.8957014083862305, -2.423004388809204, 5.011541366577148, 7.669198989868164, 3.319568634033203]
65	262500	Old Babylonian (ca. 1900-1600 BC)	12	11	[-0.7459112405776978, -1.9193247556686401, -3.159522533416748, -0.8618789315223694, -1.5160490274429321, -1.1732981204986572, 0.18139874935150146, 0.5248180031776428, 2.7989578247070312, 0.7498633861541748, 1.6963284015655518, 5.403656005859375, 2.2109360694885254, 2.312227249145508, -1.0543655157089233, -3.056748628616333, 0.1282416582107544, -1.2462486028671265]
66	283801	ED IIIa (ca. 2600-2500 BC)	1	4	[2.6350479125976562, 4.5698981285095215, 2.0024044513702393, -2.242622137069702, 5.269322395324707, -0.7417311668395996, -1.734024167060852, -0.8514071702957153, -1.756777286529541, -0.43991154432296753, -1.5503551959991455, -0.6412432789802551, 0.3399598300457001, -1.0772496461868286, -0.21927480399608612, 1.6690858602523804, -2.3141839504241943, -1.762686014175415]
